gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM
0042100174,1610612762,Utah,Jazz,UTA,jazz,240:00,0.557,0.443,0.44,0.06,0.3,0.03,0.26,0.11,0.38,0.409,0.591,0.8,0.2,0.531,0.469
0042100174,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.429,0.571,0.364,0.061,0.455,0.061,0.182,0.061,0.303,0.222,0.778,0.733,0.267,0.455,0.545
0042100175,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.494,0.506,0.49,0.039,0.353,0.078,0.157,0.206,0.451,0.32,0.68,0.667,0.333,0.432,0.568
0042100175,1610612762,Utah,Jazz,UTA,jazz,240:00,0.61,0.39,0.675,0.104,0.117,0.091,0.208,0.091,0.571,0.346,0.654,1.0,0.0,0.414,0.586
0042100175,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.494,0.506,0.49,0.039,0.353,0.078,0.157,0.206,0.451,0.32,0.68,0.667,0.333,0.432,0.568
0042100175,1610612762,Utah,Jazz,UTA,jazz,240:00,0.61,0.39,0.675,0.104,0.117,0.091,0.208,0.091,0.571,0.346,0.654,1.0,0.0,0.414,0.586
0042100176,1610612762,Utah,Jazz,UTA,jazz,240:00,0.583,0.417,0.563,0.0,0.281,0.094,0.156,0.135,0.563,0.519,0.481,0.667,0.333,0.556,0.444
0042100176,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.463,0.538,0.388,0.02,0.52,0.061,0.092,0.184,0.367,0.474,0.526,0.765,0.235,0.611,0.389
0042100176,1610612762,Utah,Jazz,UTA,jazz,240:00,0.583,0.417,0.563,0.0,0.281,0.094,0.156,0.135,0.563,0.519,0.481,0.667,0.333,0.556,0.444
0042100176,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.463,0.538,0.388,0.02,0.52,0.061,0.092,0.184,0.367,0.474,0.526,0.765,0.235,0.611,0.389
